proposal_id,primary_cluster,primary_ratio,secondary_cluster,secondary_ratio,tertiary_cluster,tertiary_ratio
3120,13,0.5769230769230769,18,0.34615384615384615,16,0.038461538461538464
3121,3,0.42857142857142855,13,0.2857142857142857,11,0.09523809523809523
3122,8,0.5833333333333334,11,0.25,9,0.08333333333333333
3123,4,0.26666666666666666,2,0.23333333333333334,8,0.23333333333333334
3124,13,0.42857142857142855,19,0.21428571428571427,18,0.14285714285714285
3126,13,0.6363636363636364,18,0.18181818181818182,6,0.18181818181818182
3141,3,0.8,13,0.2,-1,0.0
3164,2,0.6666666666666666,16,0.25925925925925924,9,0.07407407407407407
3165,18,0.7058823529411765,13,0.17647058823529413,16,0.058823529411764705
3166,2,0.85,16,0.05,12,0.05
3167,19,0.5217391304347826,11,0.17391304347826086,2,0.17391304347826086
3168,13,0.7241379310344828,12,0.13793103448275862,6,0.06896551724137931
3169,2,0.4230769230769231,16,0.2692307692307692,13,0.15384615384615385
3170,13,0.3157894736842105,11,0.3157894736842105,19,0.21052631578947367
3171,19,0.4375,11,0.25,13,0.1875
3172,18,0.5,2,0.375,16,0.125
3173,15,0.5789473684210527,1,0.10526315789473684,12,0.10526315789473684
3174,13,0.6086956521739131,6,0.2608695652173913,11,0.043478260869565216
3175,10,0.9047619047619048,6,0.047619047619047616,1,0.047619047619047616
3176,16,0.29411764705882354,19,0.23529411764705882,11,0.17647058823529413
3177,19,0.42857142857142855,2,0.42857142857142855,11,0.047619047619047616
3178,1,0.25,11,0.25,12,0.1875
3179,8,0.5454545454545454,4,0.2727272727272727,19,0.09090909090909091
3181,1,0.3333333333333333,12,0.3333333333333333,11,0.09523809523809523
3182,13,0.625,6,0.20833333333333334,9,0.08333333333333333
3184,1,0.2857142857142857,2,0.23809523809523808,13,0.19047619047619047
3185,2,0.55,16,0.15,18,0.15
3186,16,0.6,6,0.2,2,0.2
3187,13,0.375,1,0.25,11,0.125
3188,13,0.8333333333333334,12,0.08333333333333333,6,0.08333333333333333
3189,17,0.5,8,0.2,18,0.1
3204,12,0.5833333333333334,9,0.4166666666666667,-1,0.0
3205,13,0.5,19,0.2857142857142857,16,0.07142857142857142
3206,18,0.4,2,0.26666666666666666,11,0.13333333333333333
3207,8,0.52,4,0.28,18,0.2
3208,13,0.55,6,0.25,11,0.2
3209,8,0.47058823529411764,18,0.11764705882352941,2,0.11764705882352941
3210,15,0.5789473684210527,1,0.10526315789473684,12,0.10526315789473684
3211,13,0.38461538461538464,2,0.3076923076923077,12,0.23076923076923078
3213,13,0.38461538461538464,19,0.23076923076923078,18,0.15384615384615385
3264,16,0.3,2,0.16666666666666666,12,0.13333333333333333
3266,8,0.47368421052631576,0,0.3157894736842105,13,0.10526315789473684
